"","year","treat","amended_bool","amendment_C_kg_ha"
"637",1998,7,FALSE,NA
"638",1998,8,FALSE,NA
"639",1998,9,FALSE,NA
"640",1998,10,FALSE,NA
"641",1998,11,FALSE,NA
"642",1998,12,FALSE,NA
"643",1998,13,FALSE,NA
"644",1998,14,FALSE,NA
"645",1998,15,FALSE,NA
"646",1999,1,FALSE,NA
"647",1999,2,FALSE,NA
"648",1999,3,FALSE,NA
"649",1999,4,FALSE,NA
"650",1999,5,TRUE,3000
"651",1999,6,TRUE,3000
"652",1999,7,TRUE,3000
"653",1999,8,TRUE,3000
"654",1999,9,TRUE,3000
"655",1999,10,TRUE,3000
"656",1999,11,TRUE,3000
"657",1999,12,TRUE,3000
"658",1999,13,TRUE,3000
"659",1999,14,TRUE,3000
"660",1999,15,TRUE,3000
"661",2000,1,FALSE,NA
"662",2000,2,FALSE,NA
"663",2000,3,FALSE,NA
"664",2000,4,FALSE,NA
"665",2000,5,FALSE,NA
"666",2000,6,FALSE,NA
"667",2000,7,FALSE,NA
"668",2000,8,FALSE,NA
"669",2000,9,FALSE,NA
"670",2000,10,FALSE,NA
"671",2000,11,FALSE,NA
"672",2000,12,FALSE,NA
"673",2000,13,FALSE,NA
"674",2000,14,FALSE,NA
"675",2000,15,FALSE,NA
"676",2001,1,FALSE,NA
"677",2001,2,FALSE,NA
"678",2001,3,FALSE,NA
"679",2001,4,FALSE,NA
"680",2001,5,TRUE,3000
"681",2001,6,TRUE,3000
"682",2001,7,TRUE,3000
"683",2001,8,TRUE,3000
"684",2001,9,TRUE,3000
"685",2001,10,TRUE,3000
"686",2001,11,TRUE,3000
"687",2001,12,TRUE,3000
"688",2001,13,TRUE,3000
"689",2001,14,TRUE,3000
"690",2001,15,TRUE,3000
"691",2002,1,FALSE,NA
"692",2002,2,FALSE,NA
"693",2002,3,FALSE,NA
"694",2002,4,FALSE,NA
"695",2002,5,FALSE,NA
"696",2002,6,FALSE,NA
"697",2002,7,FALSE,NA
"698",2002,8,FALSE,NA
"699",2002,9,FALSE,NA
"700",2002,10,FALSE,NA
"701",2002,11,FALSE,NA
"702",2002,12,FALSE,NA
"703",2002,13,FALSE,NA
"704",2002,14,FALSE,NA
"705",2002,15,FALSE,NA
"706",2003,1,FALSE,NA
"707",2003,2,FALSE,NA
"708",2003,3,FALSE,NA
"709",2003,4,FALSE,NA
"710",2003,5,TRUE,3000
"711",2003,6,TRUE,3000
"712",2003,7,TRUE,3000
"713",2003,8,TRUE,3000
"714",2003,9,TRUE,3000
"715",2003,10,TRUE,3000
"716",2003,11,TRUE,3000
"717",2003,12,TRUE,3000
"718",2003,13,TRUE,3000
"719",2003,14,TRUE,3000
"720",2003,15,TRUE,3000
"721",2004,1,FALSE,NA
"722",2004,2,FALSE,NA
"723",2004,3,FALSE,NA
"724",2004,4,FALSE,NA
"725",2004,5,FALSE,NA
"726",2004,6,FALSE,NA
"727",2004,7,FALSE,NA
"728",2004,8,FALSE,NA
"729",2004,9,FALSE,NA
"730",2004,10,FALSE,NA
"731",2004,11,FALSE,NA
"732",2004,12,FALSE,NA
"733",2004,13,FALSE,NA
"734",2004,14,FALSE,NA
"735",2004,15,FALSE,NA
"736",2005,1,FALSE,NA
"737",2005,2,FALSE,NA
"738",2005,3,FALSE,NA
"739",2005,4,FALSE,NA
"740",2005,5,TRUE,3000
"741",2005,6,TRUE,3000
"742",2005,7,TRUE,3000
"743",2005,8,TRUE,3000
"744",2005,9,TRUE,3000
"745",2005,10,TRUE,3000
"746",2005,11,TRUE,3000
"747",2005,12,TRUE,3000
"748",2005,13,TRUE,3000
"749",2005,14,TRUE,3000
"750",2005,15,TRUE,3000
"751",2006,1,FALSE,NA
"752",2006,2,FALSE,NA
"753",2006,3,FALSE,NA
"754",2006,4,FALSE,NA
"755",2006,5,FALSE,NA
"756",2006,6,FALSE,NA
"757",2006,7,FALSE,NA
"758",2006,8,FALSE,NA
"759",2006,9,FALSE,NA
"760",2006,10,FALSE,NA
"761",2006,11,FALSE,NA
"762",2006,12,FALSE,NA
"763",2006,13,FALSE,NA
"764",2006,14,FALSE,NA
"765",2006,15,FALSE,NA
"766",2007,1,FALSE,NA
"767",2007,2,FALSE,NA
"768",2007,3,FALSE,NA
"769",2007,4,FALSE,NA
"770",2007,5,TRUE,3000
"771",2007,6,TRUE,3000
"772",2007,7,TRUE,3000
"773",2007,8,TRUE,3000
"774",2007,9,TRUE,3000
"775",2007,10,TRUE,3000
"776",2007,11,TRUE,3000
"777",2007,12,TRUE,3000
"778",2007,13,TRUE,3000
"779",2007,14,TRUE,3000
"780",2007,15,TRUE,3000
"781",2008,1,FALSE,NA
"782",2008,2,FALSE,NA
"783",2008,3,FALSE,NA
"784",2008,4,FALSE,NA
"785",2008,5,FALSE,NA
"786",2008,6,FALSE,NA
"787",2008,7,FALSE,NA
"788",2008,8,FALSE,NA
"789",2008,9,FALSE,NA
"790",2008,10,FALSE,NA
"791",2008,11,FALSE,NA
"792",2008,12,FALSE,NA
"793",2008,13,FALSE,NA
"794",2008,14,FALSE,NA
"795",2008,15,FALSE,NA
"796",2009,1,FALSE,NA
"797",2009,2,FALSE,NA
"798",2009,3,FALSE,NA
"799",2009,4,FALSE,NA
"800",2009,5,TRUE,3000
"801",2009,6,TRUE,3000
"802",2009,7,TRUE,3000
"803",2009,8,TRUE,3000
"804",2009,9,TRUE,3000
"805",2009,10,TRUE,3000
"806",2009,11,TRUE,3000
"807",2009,12,TRUE,3000
"808",2009,13,TRUE,3000
"809",2009,14,TRUE,3000
"810",2009,15,TRUE,3000
"811",2010,1,FALSE,NA
"812",2010,2,FALSE,NA
"813",2010,3,FALSE,NA
"814",2010,4,FALSE,NA
"815",2010,5,FALSE,NA
"816",2010,6,FALSE,NA
"817",2010,7,FALSE,NA
"818",2010,8,FALSE,NA
"819",2010,9,FALSE,NA
"820",2010,10,FALSE,NA
"821",2010,11,FALSE,NA
"822",2010,12,FALSE,NA
"823",2010,13,FALSE,NA
"824",2010,14,FALSE,NA
"825",2010,15,FALSE,NA
"826",2011,1,FALSE,NA
"827",2011,2,FALSE,NA
"828",2011,3,FALSE,NA
"829",2011,4,FALSE,NA
"830",2011,5,TRUE,3000
"831",2011,6,TRUE,3000
"832",2011,7,TRUE,3000
"833",2011,8,TRUE,3000
"834",2011,9,TRUE,3000
"835",2011,10,TRUE,3000
"836",2011,11,TRUE,3000
"837",2011,12,TRUE,3000
"838",2011,13,TRUE,3000
"839",2011,14,TRUE,3000
"840",2011,15,TRUE,3000
"841",2012,1,FALSE,NA
"842",2012,2,FALSE,NA
"843",2012,3,FALSE,NA
"844",2012,4,FALSE,NA
"845",2012,5,FALSE,NA
"846",2012,6,FALSE,NA
"847",2012,7,FALSE,NA
"848",2012,8,FALSE,NA
"849",2012,9,FALSE,NA
"850",2012,10,FALSE,NA
"851",2012,11,FALSE,NA
"852",2012,12,FALSE,NA
"853",2012,13,FALSE,NA
"854",2012,14,FALSE,NA
"855",2012,15,FALSE,NA
"856",2013,1,FALSE,NA
"857",2013,2,FALSE,NA
